s_State,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Angor ada,x_2,32.519404,69.272673,Parwan,AF03,34.958537,68.886329,21
Angor ada,x_2,32.519404,69.272673,Wardak,AF04,34.292078,68.20295,27
Angor ada,x_2,32.519404,69.272673,Logar,AF05,34.013175,69.171596,49
Angor ada,x_2,32.519404,69.272673,Nangarhar,AF06,34.272868,70.472553,111
Angor ada,x_2,32.519404,69.272673,Baghlan,AF09,35.773178,68.938185,52
Angor ada,x_2,32.519404,69.272673,Bamyan,AF10,34.798638,67.233704,3
Angor ada,x_2,32.519404,69.272673,Ghazni,AF11,33.298822,67.811789,982
Angor ada,x_2,32.519404,69.272673,Paktika,AF12,32.481676,68.751118,31933
Angor ada,x_2,32.519404,69.272673,Paktya,AF13,33.629195,69.401912,978
Angor ada,x_2,32.519404,69.272673,Khost,AF14,33.366603,69.830734,559
Angor ada,x_2,32.519404,69.272673,Badakhshan,AF17,37.038272,71.457808,4
Angor ada,x_2,32.519404,69.272673,Takhar,AF18,36.702307,69.776281,7
Angor ada,x_2,32.519404,69.272673,Kunduz,AF19,36.846189,68.741738,73
Angor ada,x_2,32.519404,69.272673,Balkh,AF21,36.671789,67.067123,838
Angor ada,x_2,32.519404,69.272673,Sar-e-Pul,AF22,35.732534,66.13302,62
Angor ada,x_2,32.519404,69.272673,Zabul,AF26,32.193437,67.159692,4
Angor ada,x_2,32.519404,69.272673,Kandahar,AF27,31.052452,65.712547,71
Angor ada,x_2,32.519404,69.272673,Jawzjan,AF28,36.828418,65.841324,316
Angor ada,x_2,32.519404,69.272673,Helmand,AF30,31.185119,64.052756,4
Bahramcha,x_3,29.42026,64.015136,Kabul,AF01,34.554066,69.332594,575
Bahramcha,x_3,29.42026,64.015136,Kapisa,AF02,34.962936,69.622633,90
Bahramcha,x_3,29.42026,64.015136,Wardak,AF04,34.292078,68.20295,270
Bahramcha,x_3,29.42026,64.015136,Laghman,AF07,34.762935,70.170187,139
Bahramcha,x_3,29.42026,64.015136,Baghlan,AF09,35.773178,68.938185,45
Bahramcha,x_3,29.42026,64.015136,Ghazni,AF11,33.298822,67.811789,737
Bahramcha,x_3,29.42026,64.015136,Khost,AF14,33.366603,69.830734,45
Bahramcha,x_3,29.42026,64.015136,Badakhshan,AF17,37.038272,71.457808,45
Bahramcha,x_3,29.42026,64.015136,Kunduz,AF19,36.846189,68.741738,45
Bahramcha,x_3,29.42026,64.015136,Balkh,AF21,36.671789,67.067123,45
Bahramcha,x_3,29.42026,64.015136,Sar-e-Pul,AF22,35.732534,66.13302,122
Bahramcha,x_3,29.42026,64.015136,Ghor,AF23,34.223853,64.928959,135
Bahramcha,x_3,29.42026,64.015136,Uruzgan,AF25,32.942363,66.132258,45
Bahramcha,x_3,29.42026,64.015136,Kandahar,AF27,31.052452,65.712547,14375
Bahramcha,x_3,29.42026,64.015136,Faryab,AF29,36.054515,64.859923,24
Bahramcha,x_3,29.42026,64.015136,Helmand,AF30,31.185119,64.052756,168688
Bahramcha,x_3,29.42026,64.015136,Herat,AF32,34.059812,61.988025,375
Bahramcha,x_3,29.42026,64.015136,Farah,AF33,32.497557,62.462352,669
Bahramcha,x_3,29.42026,64.015136,Nimroz,AF34,30.789339,62.316668,1082
Ghulam Khan,x_5,33.150936,70.029985,Kabul,AF01,34.554066,69.332594,1948
Ghulam Khan,x_5,33.150936,70.029985,Kapisa,AF02,34.962936,69.622633,39
Ghulam Khan,x_5,33.150936,70.029985,Parwan,AF03,34.958537,68.886329,3
Ghulam Khan,x_5,33.150936,70.029985,Wardak,AF04,34.292078,68.20295,289
Ghulam Khan,x_5,33.150936,70.029985,Logar,AF05,34.013175,69.171596,528
Ghulam Khan,x_5,33.150936,70.029985,Nangarhar,AF06,34.272868,70.472553,952
Ghulam Khan,x_5,33.150936,70.029985,Laghman,AF07,34.762935,70.170187,45
Ghulam Khan,x_5,33.150936,70.029985,Baghlan,AF09,35.773178,68.938185,92
